c	city
1	Newbedford, Massachusetts
1	Newbern, N.C
1	Newburgh
1	Newbury (Vermont
1	Newbury Mass
1	Newbury, (Ver
1	Newbury, (Vermont
1	Newburyport Ky
1	Newburyport, Massachusetts
1	Newcastle on Tyne
1	Newcastle upon Tine
1	Newcastle upon Tyne Licensed and entered according to order
1	Newfield
1	Newly printed at Paris
1	Newport (Rhode-Island
1	Newport N.H
1	Newport-Pagnel
1	Newton
1	Newtown, Pa
1	Niagara Falls
1	Niagara Falls N.Y
1	Niagara Falls, N.Y
1	Norfolk
1	Norristown Pa
1	Norristown, Pa
1	North Wrentham Mass
1	Northallerton
1	Northborough, Mass
1	Northumberland
1	Northumberland-Town Pa
1	Norton
1	Norvici
1	Norway
1	Nouvelle-Orlans
1	Nouvelle-Orléans
1	Nouvelle-Orléans i.e. New Orleans
1	Nouvelle-Orléans i.e., New Orleans La
1	Nouvelle-York
1	Novi-Portus
1	Novo-Portuecticutensium, New Haven
1	Nueva-York
1	Nwe York
1	Oakland
1	Oberlin
1	Oenozphthopolis i.e. London
1	Ogdensburgh N.Y
1	Ogdensburgh, N.Y
1	Olympia Wash
1	Omaha Neb
1	Oneida, N.Y
1	Oppenheimii
1	Oshkosh Wis
1	Oswego, N.Y
1	Ottawa
1	Oxford Eng
1	Oxford and London
1	Oxford i.e. Amsterdam
1	Oxford i.e. Edinburgh
1	Oxford, Eng
1	Oxford, i.e. London
1	Oxfort i.e. Paris
1	Palmer
1	Palmer Mass
1	Pancridge i.e. London
1	Paris London
1	Paris, cum privilegio
1	Paris, i.e. London
1	Paterson
1	Pawling, N.Y
1	Pawtucket
1	Pawtucket, Mass
1	Pawtucket, R.I
1	Peairt
1	Pekin, Illinois
1	Pennsylvania
1	Petth sic
1	Philadelahia sic
1	Philadelphia (Pa
1	Philadelphia in Pennsylvania
1	Philiadelphia
1	Pittsburg
1	Plano
1	Plattsburgh N.Y
1	Plymouth Massachusetts
1	Plymouth-Dock
1	Pomadie
1	Pontiac, Mich
1	Port Huron, Mich
1	Port Jervis, N.Y
1	Port Royal, S.C
1	PortlanD
1	Portland (Massachusetts i.e., Maine
1	Portland, Mo
1	Portsmouth, (N.H
1	Portsmouth, (New-Hampshire
1	Portsmouth, New Hampshire
1	Portsmouth,(New-Hampshire
1	Portsmouth--New-Hampshire
1	Pottstown, Pa
1	Poughkeepsie
1	Poultney
1	Prague i.e London
1	Prescot
1	Prescott
1	Prescott Ariz
1	Printed and sold at Exeter, New-Hampshire
1	Printed att Gant
1	Printed att sic Paris
1	Printed by His Majesties command at Oxford
1	Printed by His Majesties command, at Oxford, Ianuary 18
1	Printed, typographically, at Northampton, Massachusetts
1	Printet sic, at Amsterdam
1	Providence (R. Island
1	Providence (R.I
1	Providence (Rhode Island
1	Providence N.E
1	Providence R. I
1	Prtsmouth
1	Ptinted sic at London
1	Published at Paris
1	Putney Vt
1	Quebec Canada
1	Quincy, Ill
1	Ramsey
1	Re-printed at Boston in N.E
1	Re-printed at Catskill N.Y
1	Re-printed at Newburyport Mass
1	Re-printed at Providence
1	Reading, Mass
1	Reading, Pa
1	Reprinted Amsterdam
1	Reprinted at Dublin
1	Reprinted at Oxford
1	Reprinted in London
1	Rhinebeck, Dutchess County, N.Y
1	Rhode Island
1	Rhydychen
1	Richmond Ky
1	Richmond, Virginia
1	Roan
1	Roan i.e
1	Roan i.e. Dublin
1	Rochdale
1	Rochel i.e. London
1	Rochester (Kent
1	Rochester, Minn
1	Rock Island, Ill
1	Rockland
1	Rockland Me
1	Rome
1	Rome, N.Y
1	Rossville
1	Rotterdam, at the signe of the blew Bitch in Doglane i.e. London
1	Rotterdam, i.e. Dublin
1	Rotterdame in Holland i.e. London
1	Rouan i.e. London
1	Roxbury
1	Roxbury Boston, Mass
1	Roüen
1	Rutland, Vt
1	S.1
1	S.n
1	Sag-Harbor N.Y
1	Sagg-Harbour N.Y
1	Saint Louis
1	Salem (Massachusetts
1	Salem Me
1	Salem in Nordkarolina
1	Salem, Mass. New-England
1	Salem, N.C
1	Salem, N.Y
1	Salem--Massachusetts
1	Salt Lake City, Utah
1	Sandbornton
1	Sandusky
1	Sandy-Hill, N.Y
1	Sangerfield
1	Savannah, Ga
1	Savoy, Mass
1	Schenectada
1	Schoharie
1	Scranton
1	Scranton, Pa
1	Selby
1	Selinsgrove Pa
1	Senaca i.e., Seneca, Kan
1	Seneca Falls N.Y
1	Sevenoaks
1	Seymour
1	Shawnee, M.L.S. Kan
1	Shepherd's-Town Va
1	Shepton-Mallet
1	Shiffnal
1	Skowhegan
1	Skowhegan, Me
1	Sondon i.e. London
1	South Groton
1	South Hadley, Mass
1	South-Carolina, Charles-Town
1	Southampton Pa
1	Southampton and London
1	Southbridge, Mass
1	Spartanburg S.C
1	Springfield, (Massachusetts
1	St. Andrews
1	St. Clairsville
1	St. Germains
1	St. Helier
1	St. John's
1	St. John, N.B
1	St. Joseph
1	St. Joseph, Mo
1	St. Paul
1	St. Paul, Minn
1	St. Petersbourg
1	St. Petersburg
1	St.-Omer
1	Stanstead Quebec
1	Stevens Point Wis
1	Stockbridge, Mass
1	Stockholm
1	Stockport
1	Stockton upon Tees
1	Stonington-Port
1	Stonington-Port, (Connecticut
1	Strasbourg
1	Strasburgh i.e. Amsterdam
1	Stratford on Avon
1	Sudbury
1	Suffolk
1	Swarthmore
1	Tallahassee, Fla
1	Tarborough, N.C
1	The Netherlands
1	Thirsk
1	Thompsonville
1	Tiohtiaki
1	Tiohtiaki Montreal
1	Tiverton
1	Toronto, Canada West i.e., Ont
1	Tot de Hague
1	Tournai
1	Trenton Tenn
1	Trowbridge
1	Tuskaloosa, Ala
1	Uabistiguiatsh
1	Ulverston
1	United States of America. the press in Worcester, Massachusetts
1	United States of Columbia. Worcester, Massachusetts
1	Upsala
1	Utica Mich
1	Utopia i.e. Edinburgh
1	Uxbridge
1	VVaterford
1	Va
1	Vandalia
1	Ventnor
1	Vevay, Switzerland
1	Vicksburg Miss
1	Vienna Austria
1	Villa Franca
1	Village Debartzch
1	Vinegia
1	Virginia
1	Virginia City, Nev
1	Vt
1	Vtrecht i.e. France
1	W. Hampton
1	Wakefield Mass
1	Walpole
1	Walpole, New Hampshire
1	Waltham, Mass
1	Wapping i.e. London
1	Warren
1	Warsaw
1	Washington City i.e., Washington, D.C
1	Waterbury Vt
1	Waterford N.Y
1	Waterford Waterford
1	Waterford in Ireland
1	Waterfordiæ
1	Watertown Mass
1	Wathena
1	Waymouth
1	Wendell Mass
1	Wendell, Mass
1	West Chester
1	West Smithfield London
1	West Springfield, Mass
1	West-Chester, Pa
1	Westborough
1	Westfield
1	Westminster Vt
1	Westmonasterii
1	Wethersfield
1	Wetumpka, Ala
1	Weymouth
1	Wheeling W. Va
1	Whitburn
1	Wilkes-Barre, Pa
1	Williamsburg
1	Williamsburgh, N.Y
1	Williamstown
1	Wilmington (Delaware
1	Wilmington N.C
1	Wilmington, N.C
1	Winchendon Mass
1	Windham, (Connecticut
1	Windsor, Vermont
1	Winona, Minn
1	Wiscasset Me
1	Wisconsin
1	Woodbridge
1	Woodstock
1	Woodstock, Vt
1	Woodville Miss
1	Worcester Massachusetts-Bay
1	Worcester, (Massachusetts
1	Worcester, Worcestershire
1	Wormsloe Ga
1	Wormsloe, Ga
1	Worthington
1	Wotton-Underedge
1	Wotton-under-Edge
1	Wrentham, (Mass
1	Wästerås
1	Yarmouthport Mass
1	Yarmouthport, Mass
1	York, Pa
1	York, and now reprinted at London
1	Yorke ;Oxford
1	Yorke, and re-printed at London
1	Züllichau
1	london
1	ondonsic
1	printed at London
1	the Hague i.e. London
1	the Theater in Oxford and in London
0	
